affiliationID,displayName,normalizedName,wiki,paperTotal,citationTotal,Latitude,Longitude,GRIDid
721619,Benemérita Universidad Autónoma de Puebla,benemerita universidad autonoma de puebla,http://en.wikipedia.org/wiki/Benemérita_Universidad_Autónoma_de_Puebla,12322,121197,19.000742,-98.2005157,grid.411659.e
11368126,Army and Navy Academy,army and navy academy,http://en.wikipedia.org/wiki/Army_and_Navy_Academy,1121,8144,33.16222,-117.355,""
11923345,Wrocław University of Technology,wroclaw university of technology,http://en.wikipedia.org/wiki/Wrocław_University_of_Technology,18261,194551,51.107,17.062,grid.7005.2
16197041,Cyprus International University,cyprus international university,http://en.wikipedia.org/wiki/Cyprus_International_University,589,2867,35.22167,33.4147224,grid.440833.8
24027795,University of Johannesburg,university of johannesburg,http://en.wikipedia.org/wiki/University_of_Johannesburg,18449,161516,-26.18333,27.99889,grid.412988.e
26120043,Ochanomizu University,ochanomizu university,http://en.wikipedia.org/wiki/Ochanomizu_University,6353,82949,35.7184753,139.732559,grid.412314.1
37415318,Bates College,bates college,http://en.wikipedia.org/wiki/Bates_College,2183,40281,44.10556,-70.20417,grid.252873.9
39327780,iMinds,iminds,http://en.wikipedia.org/wiki/IMinds,378,4035,51.03651,3.734837,grid.56912.39
51485169,Le Moyne College,le moyne college,http://en.wikipedia.org/wiki/Le_Moyne_College,947,9391,43.0481,-76.08644,grid.419217.8
51826884,Kocaeli University,kocaeli university,http://en.wikipedia.org/wiki/Kocaeli_University,7779,87934,40.7661,29.9394,grid.411105.0
54383971,EcoHealth Alliance,ecohealth alliance,http://en.wikipedia.org/wiki/EcoHealth_Alliance,398,10047,40.7140541,-74.0039139,grid.420826.a
72023434,Doshisha Women's College of Liberal Arts,doshisha women s college of liberal arts,http://en.wikipedia.org/wiki/Doshisha_Women's_College_of_Liberal_Arts,691,8764,35.02963,135.763611,grid.444204.2
85332549,National Brain Research Centre,national brain research centre,http://en.wikipedia.org/wiki/National_Brain_Research_Centre,750,14191,28.3321953,76.9385147,grid.250277.5
96357137,Saint Paul University,saint paul university,http://en.wikipedia.org/wiki/Saint_Paul_University,1092,11211,45.4081,-75.676,grid.412363.1
97729445,Action Against Hunger,action against hunger,http://en.wikipedia.org/wiki/Action_Against_Hunger,153,1797,39.1502228,-77.0212,grid.452229.a
97780788,Beckman Coulter,beckman coulter,http://en.wikipedia.org/wiki/Beckman_Coulter,3029,55719,34.0912933,-117.951157,grid.418254.e
100072489,Yeditepe University,yeditepe university,http://en.wikipedia.org/wiki/Yeditepe_University,4727,53805,40.97278,29.15194,grid.32140.34
103250015,Human Sciences Research Council,human sciences research council,http://en.wikipedia.org/wiki/Human_Sciences_Research_Council_(South_Africa),2147,40643,-25.7481441,28.1853313,grid.417715.1
